Sex,WorkingAge,FieldOfEducation,EducationalAttainment,Population
Male,15 - 19,Secondary and below,No schooling,-
,,,Pre-primary,31
,,,Primary,1012
,,,Lower secondary,11770
,,,Upper secondary,8682
,,,Matriculation (including Technician level),215
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,21710
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,36
,,,Post-secondary: Diploma/ Certificate,364
,,,Post-secondary: Sub-degree course,153
,,,Post-secondary: Degree course,265
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,818
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,108
,,,Post-secondary: Sub-degree course,30
,,,Post-secondary: Degree course,88
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,226
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,17
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,17
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,473
,,,Post-secondary: Sub-degree course,170
,,,Post-secondary: Degree course,474
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,1117
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,172
,,,Post-secondary: Sub-degree course,142
,,,Post-secondary: Degree course,77
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,391
